Day,,BODY METRICS,,,,,,,,,WORK METRICS,,,,,,,FINANCE,,,,
NIGHTMARE,Date,Wake,Sleep,Weight,BF%,HRV,Recovery,Strain,CalsBurn,Training,Cold Shower,DW1 mins,DW2 mins,No Dopamine,Midnight Win,Network,Content,NetWorth,Spend,,Waist,Neck
1,"Mon, Apr 21",6:48 ,23:45,192.8,19.20,83,80,12.9,1991,1,1,0,60,1,0,0,1,"$125,000",408.94,,36,16.2
2,"Tue, Apr 22",5:08,22:13,192,19.20,86,78,16.7,2976,1,1,90,0,1,1,0,1,"$128,000",0.00,,36,16.2
3,"Wed, Apr 23",4:29,22:42,190.4,18.05,69,35,15.7,2714,1,1,120,75,0.5,1,0,0,"$129,500",0.00,,35.2,16
4,"Thu, Apr 24",5:51,22:25,189.2,18.05,66,38,9.3,2138,0.75,1,60,90,0,0.5,0,0,"$133,010",23.89,,35.2,16
5,"Fri, Apr 25",4:50,22:28,190.2,18.05,79,52,10.6,2347,1,1,90,0,0.75,1,0,0,"$133,527",0.00,,35.2,16
6,"Sat, Apr 26",7:24,22:33,190,18.05,77,60,13.3,2724,1,1,120,45,0,1,0,0,"$133,527",0.00,,35.2,16
7,"Sun, Apr 27",7:24,0:41,190.2,18.05,76,63,5.8,1945,0,1,130,0,0,0,0,0,"$133,527",0.00,,35.2,16
8,"Mon, Apr 28",5:08,22:38,191.2,18.05,84,79,13.3,2602,1,1,30,0,0.6,0,0,0,"$133,527",0.00,,35.2,16
9,"Tue, Apr 29",6:40,22:24,188.2,17.66,83,78,9.3,2196,1,1,0,0,1,0,0,0,"$133,527",28.54,,34.8,15.8
10,"Wed, Apr 30",6:19,23:15,188.2,17.66,90,88,10.6,2400,1,1,40,0,1,0,0,0,"$135,331",0.00,,34.8,15.8
11,"Thu, May 1",6:15,23:30,188.8,17.66,100,90,,,0,1,40,,1,1,0,0,"$135,831",118.19,,34.8,15.8
12,"Fri, May 2",,,,,,,,,,,,,,,,,,,,,
13,"Sat, May 3",,,,,,,,,,,,,,,,,,,,,
14,"Sun, May 4",,,,,,,,,,,,,,,,,,,,,
15,"Mon, May 5",,,,,,,,,,,,,,,,,,,,,
16,"Tue, May 6",,,,,,,,,,,,,,,,,,,,,
17,"Wed, May 7",,,,,,,,,,,,,,,,,,,,,
18,"Thu, May 8",,,,,,,,,,,,,,,,,,,,,
19,"Fri, May 9",,,,,,,,,,,,,,,,,,,,,
20,"Sat, May 10",,,,,,,,,,,,,,,,,,,,,
21,"Sun, May 11",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,6:01 ,20:46,,,81,67,11.75,2403.3,8.75,11,720,270,6.85,5.5,0,2,,579.56,,,
1,"Mon, May 12",,,,,,,,,,,,,,,,,,,,,
2,"Tue, May 13",,,,,,,,,,,,,,,,,,,,,
3,"Wed, May 14",,,,,,,,,,,,,,,,,,,,,
4,"Thu, May 15",,,,,,,,,,,,,,,,,,,,,
5,"Fri, May 16",,,,,,,,,,,,,,,,,,,,,
6,"Sat, May 17",,,,,,,,,,,,,,,,,,,,,
7,"Sun, May 18",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,,,,,,,,,,,,,,,,,,,,,
NIGHTMARE,Date,,,,,,,,,,,,,,,,,,,,,
1,"Mon, May 19",,,,,,,,,,,,,,,,,,,,,
2,"Tue, May 20",,,,,,,,,,,,,,,,,,,,,
3,"Wed, May 21",,,,,,,,,,,,,,,,,,,,,
4,"Thu, May 22",,,,,,,,,,,,,,,,,,,,,
5,"Fri, May 23",,,,,,,,,,,,,,,,,,,,,
6,"Sat, May 24",,,,,,,,,,,,,,,,,,,,,
7,"Sun, May 25",,,,,,,,,,,,,,,,,,,,,
8,"Mon, May 26",,,,,,,,,,,,,,,,,,,,,
9,"Tue, May 27",,,,,,,,,,,,,,,,,,,,,
10,"Wed, May 28",,,,,,,,,,,,,,,,,,,,,
11,"Thu, May 29",,,,,,,,,,,,,,,,,,,,,
12,"Fri, May 30",,,,,,,,,,,,,,,,,,,,,
13,"Sat, May 31",,,,,,,,,,,,,,,,,,,,,
14,"Sun, Jun 1",,,,,,,,,,,,,,,,,,,,,
15,"Mon, Jun 2",,,,,,,,,,,,,,,,,,,,,
16,"Tue, Jun 3",,,,,,,,,,,,,,,,,,,,,
17,"Wed, Jun 4",,,,,,,,,,,,,,,,,,,,,
18,"Thu, Jun 5",,,,,,,,,,,,,,,,,,,,,
19,"Fri, Jun 6",,,,,,,,,,,,,,,,,,,,,
20,"Sat, Jun 7",,,,,,,,,,,,,,,,,,,,,
21,"Sun, Jun 8",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,,,,,,,,,,,,,,,,,,,,,
1,"Sun, Jun 8",,,,,,,,,,,,,,,,,,,,,
2,"Mon, Jun 9",,,,,,,,,,,,,,,,,,,,,
3,"Tue, Jun 10",,,,,,,,,,,,,,,,,,,,,
4,"Wed, Jun 11",,,,,,,,,,,,,,,,,,,,,
5,"Thu, Jun 12",,,,,,,,,,,,,,,,,,,,,
6,"Fri, Jun 13",,,,,,,,,,,,,,,,,,,,,
7,"Sat, Jun 14",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,,,,,,,,,,,,,,,,,,,,,
NIGHTMARE,Date,,,,,,,,,,,,,,,,,,,,,
1,"Sun, Jun 15",,,,,,,,,,,,,,,,,,,,,
2,"Mon, Jun 16",,,,,,,,,,,,,,,,,,,,,
3,"Tue, Jun 17",,,,,,,,,,,,,,,,,,,,,
4,"Wed, Jun 18",,,,,,,,,,,,,,,,,,,,,
5,"Thu, Jun 19",,,,,,,,,,,,,,,,,,,,,
6,"Fri, Jun 20",,,,,,,,,,,,,,,,,,,,,
7,"Sat, Jun 21",,,,,,,,,,,,,,,,,,,,,
8,"Sun, Jun 22",,,,,,,,,,,,,,,,,,,,,
9,"Mon, Jun 23",,,,,,,,,,,,,,,,,,,,,
10,"Tue, Jun 24",,,,,,,,,,,,,,,,,,,,,
11,"Wed, Jun 25",,,,,,,,,,,,,,,,,,,,,
12,"Thu, Jun 26",,,,,,,,,,,,,,,,,,,,,
13,"Fri, Jun 27",,,,,,,,,,,,,,,,,,,,,
14,"Sat, Jun 28",,,,,,,,,,,,,,,,,,,,,
15,"Sun, Jun 29",,,,,,,,,,,,,,,,,,,,,
16,"Mon, Jun 30",,,,,,,,,,,,,,,,,,,,,
17,"Tue, Jul 1",,,,,,,,,,,,,,,,,,,,,
18,"Wed, Jul 2",,,,,,,,,,,,,,,,,,,,,
19,"Thu, Jul 3",,,,,,,,,,,,,,,,,,,,,
20,"Fri, Jul 4",,,,,,,,,,,,,,,,,,,,,
21,"Sat, Jul 5",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,,,,,,,,,,,,,,,,,,,,,
1,"Sun, Jul 6",,,,,,,,,,,,,,,,,,,,,
2,"Mon, Jul 7",,,,,,,,,,,,,,,,,,,,,
3,"Tue, Jul 8",,,,,,,,,,,,,,,,,,,,,
4,"Wed, Jul 9",,,,,,,,,,,,,,,,,,,,,
5,"Thu, Jul 10",,,,,,,,,,,,,,,,,,,,,
6,"Fri, Jul 11",,,,,,,,,,,,,,,,,,,,,
7,"Sat, Jul 12",,,,,,,,,,,,,,,,,,,,,
BREAK,AVG OR SUM,,,,,,,,,,,,,,,,,,,,,